Last Share Time (UTC),Difficulty,PPS Ratio,Donation,PPS Rate,Shares,Rewards
2018-05-24 13:15,10659804.25967600,101.0%,0.0%,0.0000000000361437,1094716928,0.0395671202305536
2018-05-28 04:35,11307952.63452400,101.0%,0.0%,0.0000000000340720,820195840,0.0279457126604800
2018-05-31 20:17,10923291.71196900,101.0%,0.0%,0.0000000000352718,2845824768,0.1003773620519424
2018-06-04 10:59,10450677.23519100,101.0%,0.0%,0.0000000000368669,2795880448,0.1030754448883712
2018-06-07 16:36,10120348.02893900,101.0%,0.0%,0.0000000000380703,4643028992,0.1767615066341376
2018-06-11 04:33,10956272.86239600,101.0%,0.0%,0.0000000000351656,7224033280,0.2540374647111680
2018-06-14 16:12,10965232.72491500,101.0%,0.0%,0.0000000000351369,7453663232,0.2618986196164608
2018-06-18 06:42,11003971.76244500,101.0%,0.0%,0.0000000000350132,9900490752,0.3466478627979264
2018-06-21 19:45,10684873.47728900,101.0%,0.0%,0.0000000000360589,10258997248,0.3699281558659072
2018-06-25 08:33,10554914.13529900,101.0%,0.0%,0.0000000000365028,11737890816,0.4284658808782848
2018-06-29 02:25,10457237.36052200,101.0%,0.0%,0.0000000000368438,12434735104,0.4581428932247552
2018-07-02 13:41,9773635.06755800,101.0%,0.0%,0.0000000000394208,11855323136,0.4673463222796288
2018-07-06 07:25,9869969.39406450,101.0%,0.0%,0.0000000000390360,14110924800,0.5508340604928000
2018-07-09 15:39,9232469.98538920,101.0%,0.0%,0.0000000000417315,12484534272,0.5209983419719680
2018-07-13 06:55,9683851.80915810,101.0%,0.0%,0.0000000000397863,17290756096,0.6879352092622848
2018-07-16 15:31,9308365.72067150,101.0%,0.0%,0.0000000000413912,17451614208,0.7223432540061696
2018-07-20 00:55,9693242.91459860,101.0%,0.0%,0.0000000000397477,17461182464,0.6940418422243328
2018-07-23 17:17,10021646.22429600,101.0%,0.0%,0.0000000000384452,19554795520,0.7517880247255040
2018-07-26 21:45,9510707.49407470,101.0%,0.0%,0.0000000000405106,16683696128,0.6758665403629568
2018-07-30 12:56,10449981.94706100,101.0%,0.0%,0.0000000000368694,19229065216,0.7089640970747904
2018-08-03 10:23,10070201.86805600,101.0%,0.0%,0.0000000000382599,20597727232,0.7880669841235968
2018-08-06 20:51,9049638.26430500,101.0%,0.0%,0.0000000000425746,18498568192,0.7875691413471232
2018-08-10 03:29,9217686.39230050,101.0%,0.0%,0.0000000000417984,17581842432,0.7348928827097088
2018-08-14 00:44,9845135.16919030,101.0%,0.0%,0.0000000000391345,20535156736,0.8036330912849920
2018-08-17 16:38,8873191.05946160,101.0%,0.0%,0.0000000000434212,18855198720,0.8187153546608640
2018-08-21 01:21,8479765.31539940,101.0%,0.0%,0.0000000000454357,16878657536,0.7668936202084352
2018-08-24 14:08,8827455.16450700,101.0%,0.0%,0.0000000000436461,18628083712,0.8130432045023232
2018-08-28 01:29,8752406.82810340,101.0%,0.0%,0.0000000000440204,18582765568,0.8180207734095872
2018-08-31 14:39,8809843.11723280,101.0%,0.0%,0.0000000000437334,18934513664,0.8280706598731776
2018-09-01 08:19,8686646.05057950,101.0%,0.0%,0.0000000000443536,3677044736,0.1630901714026496
2018-09-04 01:22,8686646.05057950,104.0%,0.0%,0.0000000000456711,11222925312,0.5125633442168832
2018-09-07 14:37,8819878.31446880,104.0%,0.0%,0.0000000000449812,16630767616,0.7480718842888192
2018-09-10 07:53,8697984.70476550,104.0%,0.0%,0.0000000000456115,12917301248,0.5891774858731520
2018-09-11 01:43,8697984.70476550,107.0%,0.0%,0.0000000000469273,3001556992,0.1408549654306816
2018-09-14 13:34,8785275.90897470,107.0%,0.0%,0.0000000000464610,17524350976,0.8141988706959360
2018-09-18 02:37,8799549.02048040,107.0%,0.0%,0.0000000000463856,14583930880,0.6764843842273280
2018-09-21 13:59,8696471.17424660,107.0%,0.0%,0.0000000000469354,17977925632,0.8438011307081728
2018-09-24 21:42,8760775.52995170,107.0%,0.0%,0.0000000000465909,14788001792,0.6889863126908928
2018-09-28 12:47,9230764.74712880,107.0%,0.0%,0.0000000000442187,8827142144,0.3903247503228928
2018-10-01 22:37,8910079.09756160,107.0%,0.0%,0.0000000000458102,4651417600,0.2130823705395200
2018-10-05 17:14,9146222.54298620,107.0%,0.0%,0.0000000000446275,11125309440,0.4964947470336000
2018-10-09 00:31,8478980.59395560,107.0%,0.0%,0.0000000000481393,17698406400,0.8519888952115200
2018-10-12 13:38,8979719.79026800,107.0%,0.0%,0.0000000000454549,19157057536,0.8707821345931264
2018-10-15 23:51,8858250.01861090,107.0%,0.0%,0.0000000000460782,18444419072,0.8498856308834304
2018-10-19 13:25,9054556.95100060,107.0%,0.0%,0.0000000000450792,19313786880,0.8706500615208960
2018-10-23 03:01,8884304.32670480,107.0%,0.0%,0.0000000000459431,13460570112,0.6184203187126272
2018-10-26 20:28,8717916.02026660,107.0%,0.0%,0.0000000000468200,12355428352,0.5784811554406400
2018-10-30 06:23,8187466.30843700,107.0%,0.0%,0.0000000000498533,11381178368,0.5673892995334144
2018-11-02 09:01,8396359.27391580,107.0%,0.0%,0.0000000000486130,10323001344,0.5018320643358720
2018-11-02 21:25,8396359.27391580,105.0%,0.0%,0.0000000000477044,1721581568,0.0821270157524992
2018-11-06 06:56,8101438.67016420,105.0%,0.0%,0.0000000000494410,11292057600,0.5582906198016000
2018-11-09 20:23,8349684.84868740,105.0%,0.0%,0.0000000000479711,9402728448,0.4510592266518528
2018-11-11 18:35,8208370.78985880,105.0%,0.0%,0.0000000000487969,5075632128,0.2476751133868032
2018-11-13 09:51,8208370.78985880,104.0%,0.0%,0.0000000000483322,4312244224,0.2084202502832128
2018-11-16 22:33,8068443.39998970,104.0%,0.0%,0.0000000000491704,9585090560,0.4713027368714240
2018-11-20 16:21,8000573.76323430,104.0%,0.0%,0.0000000000495875,13323558912,0.6606819775488000
2018-11-24 12:04,7483935.16315670,104.0%,0.0%,0.0000000000530107,4888150016,0.2591242540531712
2018-11-28 10:47,6857057.28622660,104.0%,0.0%,0.0000000000578570,6756073472,0.3908861428695040
2018-12-01 23:47,6084339.18930440,104.0%,0.0%,0.0000000000652049,18343886848,1.1961113075351552
2018-12-05 08:10,6010106.26682920,104.0%,0.0%,0.0000000000660102,17851457536,1.1783782822428672
2018-12-06 16:04,6281822.62586560,104.0%,0.0%,0.0000000000631550,7128358912,0.4501915070873600
